name	mbid	artist_ref
Enter Sandman	5cbb546d-5c1c-490e-9908-761b89dd5166	642
Eye of the Tiger	4fb091e3-f584-49aa-951f-8035abf63be1	2110
Freiheit	70f7d4ea-4055-43c0-8aed-1dc6a47e105b	1352
Ganja Smoka	6f6128ed-0598-4524-b721-54daf9a25395	672
Supergirl	82f32f71-1ab3-4677-9b6b-092ca46b23f3	1253
Superman	c966edc2-9e89-426f-84fe-cea42e6f672d	1503
Surfin' USA	f67471de-b92e-4b10-9c27-1d7ec5e55c8b	1704
Sve je ona meni	15665270-e4c5-4bd2-8323-e7c333de9287	2199
Sweet Dreams (Are Made of This)	a1ef55c3-8549-44f5-8fac-f04972a9e4dd	1627
Tears Don't Fall	2f33a094-0eb9-4550-9b33-22ef6e14e3ba	2139
Temba, Tumba y Timba	5b8e5251-b242-4de1-bc71-3b4b3719f0c9	2062
Tennis Court	3b083303-7c3e-4bf3-8457-6eb417f581f5	1426
Terminal	5a50904b-e1bb-40cc-be64-39c28f2f7c4d	1686
The Big Blue	39800ac1-4c9b-438f-a344-d8dfbcad85f2	1332
The House of the Rising Sun	a079e7de-c94b-4859-9ca2-37e0c940bdaa	112
The Masquerade Is Over	2749090b-4f3b-4554-990f-8d65b8e37dd8	1220
The Matrix	517db953-862f-455d-85d9-316d84e2bd00	1499
The Midnight Sun Will Never Set	922a854c-6680-4a15-a8d1-c536fb35174a	68
The Real Slim Shady	684ca01c-9775-42fe-9cdb-28fa37c27851	1503
The Shoop Shoop Song (It's in His Kiss)	48fbc0ed-cd33-4f5c-9903-19e477891f43	938
Theme for Maxine	9e1a5cd5-0109-4e91-b032-f53e58665100	1108
This Could Be Us	d9827fc6-36a0-4672-895b-6b8bf4a9c6bb	998
Top Of The World	87c60ffc-27c4-4c15-95bd-db016ea249fd	1416
True To Myself	510cc299-77ba-44a0-9246-10bb20d10d60	1115
Try a Little Tenderness	0109653e-af59-452d-9794-f5ef64408155	2086
Una Mattina	c2f234f2-0bde-42ad-90b6-6bf463aac9c0	1492
Urlaub fürs Gehirn	807fe8a8-5323-42fc-b080-ac24f726c999	1390
Vladimir's Blues	9f074292-7ca0-42aa-9db2-575457bf60d4	46
Waterfalls	fd789f6e-5275-491b-bdf3-e006103db61c	1321
We Dem Boyz	a4bc3f81-5ef9-4f9c-a54b-11939b84233b	1361
What You Need	05a472b0-09e5-44cd-bf2d-f6f6ab56cc32	1482
What's My Age Again?	e0524388-a2a0-49a3-a9d6-665b8f5fd6f6	1593
What's Up?	f05c9466-3c0f-4a82-bce0-e12cc8c36245	899
When The Devil's Loose	347b4647-d5b9-4c24-8d48-e9e65079e732	1761
When Your Lover Has Gone	c1ba1f21-6a6b-4bb6-a0d1-9fa0bf72c910	1990
Whenever, Wherever	31a2e268-499c-401d-b178-d34b980b90b5	1429
Where We Used To Live	d1312a5d-e811-4f14-97bb-d5663ff6ef89	1626
Where's My Money	7076ed2f-31fb-4f2e-adb2-f74cbfcdb3a7	1493
XOXO	83c2e4bb-2874-4d5a-90c7-c7557a8d9221	1804
You	afbc957c-016c-4a78-ae96-821f64011f5a	1295
Somebody to Love	aa9fb372-52bb-4afc-b8fb-3aae20672d79	348
Someday	59b451bd-70a5-4763-836f-596bc5680a31	151
Something About Us	c9fe7579-2456-40f9-b18e-9664ae8fa607	238
Something In Your Mouth	bd52b012-c9a2-45de-aaa6-1548b3f5d380	2184
SONG FOR SUNSHINE	5337daed-1e7b-45c5-b779-bc924904f062	725
Sonnet	b15a00d4-0275-4917-98e4-63c4684f433f	1317
Sorry Seems to Be the Hardest Word	04a94e6f-969a-401d-8d98-f24324045f68	1205
Soul On Fire	691a91d7-83f2-4234-9462-81f1b2888d38	572
Southern Nights	d9ce7c35-9027-479a-833b-e5a57c9eab19	1646
Spaces	fb1e0123-56a8-44c0-abf0-cfca96522bec	1224
Spaceship Earth	16e3c4cd-48c4-496c-9256-d6153211696f	1875
Spezies	618ac5d3-7da4-4723-aa61-5fefab61313e	1367
